,Palabra
that,7525
with,2774
flat,2481
have,2313
they,2306
wall,2087
head,1854
conspiracies,1697
more,1511
will,1383
Antarctica,1363
there,1329
from,1190
this,1168
what,1100
your,1073
earth,1027
because,938
like,930
know,839
good,837
would,826
people,798
them,766
does,750
than,719
their,700
about,691
very,684
right,630
only,586
those,584
much,577
many,564
when,559
want,550
believe,546
They,544
think,539
were,526
which,514
Terraplanists,509
world,504
first,482
time,474
embankments,464
already,463
infinite,459
without,452
That,428
most,415
also,413
What,404
love,404
just,403
going,398
same,389
live,387
make,376
been,376
great,376
other,372
even,361
where,349
embankment,333
thinking,333
these,329
This,329
everything,322
always,321
years,319
better,313
There,313
something,312
really,311
being,306
some,296
nothing,290
never,285
give,281
best,279
take,278
could,275
thing,273
then,267
well,263
against,260
things,258
left,250
said,248
still,245
here,245
conspiracy,237
should,234
hahaha,229
come,226
seen,226
made,225
look,223
true,223
earthworks,219
another,216
understand,213
tell,211
between,207
leave,206
beyond,204
real,202
today,201
through,200
life,196
anti,195
country,193
little,191
full,189
able,184
land,183
Flat,182
after,181
talk,179
before,175
such,175
need,172
find,170
work,169
must,164
ð,163
part,162
anything,161
read,158
others,156
into,155
plan,154
change,154
care,154
high,154
since,150
Good,150
stop,149
continue,149
heads,148
large,148
water,145
fall,145
wants,144
truth,144
every,143
year,142
free,141
huge,136
government,135
seems,135
says,134
went,134
again,134
beautiful,133
happy,133
front,133
under,132
long,130
behind,130
dome,130
feel,129
Earth,129
last,129
makes,128
More,127
while,125
exist,125
Chile,124
When,124
fire,122
someone,122
side,121
With,121
until,120
times,120
night,119
theories,118
thought,118
hahahaha,117
main,117
price,117
lost,116
rate,116
idea,115
light,115
everyone,115
course,114
face,114
less,113
place,113
Well,113
clear,113
called,112
next,112
woman,111
person,111
important,110
science,110
hand,110
evidence,109
house,109
laugh,109
theory,109
political,109
team,108
reality,108
space,108
plane,108
talking,108
video,107
shit,107
scientific,106
comes,104
level,104
seeing,104
fact,103
sure,103
saying,102
call,101
happens,101
group,99
over,99
