,Id_tweeet,Fecha,User,Tweet
0,1589781885458460673,2022-11-08 00:48:32+00:00,angel_verdegris,"@jisungsboba esos pibes son capaces de ir a dar un concierto hasta la Antártida antes de pisar latam, :c"
1,1589781322956156928,2022-11-08 00:46:18+00:00,Criticadnmx,"©️🗣 Este río bajo la #Antártida demuestra que el territorio se está #derritiendo🧊 🌍 Si la Antártida se derritiera en su totalidad se podría elevar el nivel del #mar a en todo el #mundo en 4.3 metros, 😰‼️

#Clima #CalentamientoGlobal #Criticadnmx
https://t.co/caWywNDdt3"
2,1589780597668712448,2022-11-08 00:43:25+00:00,red_visto,"@silva_her @elOrdenMundial Debajo del hielo de la Antártida hay tierra, mientras que el Ártico solo es hielo."
3,1589780492542676992,2022-11-08 00:43:00+00:00,Christian0284,@Merengue_1924 Calcaterra: Dicese de toda la Antártida en invierno.
4,1589779471552630784,2022-11-08 00:38:57+00:00,belenophyta,"por si no habían visto el doodle de hoy, es un homenaje a Irene Bernasconi, bióloga marina que estudió los equinodermos y lideró una expedición junto a más mujeres científicas a la Antártida para conocer la biodiversidad del lugar."
5,1589779100558036993,2022-11-08 00:37:28+00:00,de_unm,"Y la presencia de los funcionarios del gobierno nacional argentino:

✅Guillermo Carmona: Secretario de Malvinas, Antártida y Atlántico Sur en la Cancillería Argentina.

✅Daniela Castro: Secretaria de Investigación, Política Industrial y Producción para la Defensa del @MindefArg"
6,1589778698710192130,2022-11-08 00:35:53+00:00,dystowpia,"@poderiarsernos as geleiras da antártida não estão derretendo, esse maluco que tá roubando o gelo e enfiando no congelador ali"
7,1589778241148944389,2022-11-08 00:34:03+00:00,diariomasprensa,El Parlamento Patagónico con algunos legisladores firmará un acuerdo en la Antártida https://t.co/v0Ux3HP2u9
8,1589777985997254657,2022-11-08 00:33:03+00:00,MarthaLunalope1,@InformaCosmos ME VOY A LA ANTÁRTIDA... ASÍ SEA DE CUIDA'EQUIPAJES 👍
9,1589775687870808066,2022-11-08 00:23:55+00:00,ATO__98,@itextosoff Mi ex fue la luz de la antartida
10,1589775265261318144,2022-11-08 00:22:14+00:00,Maquiavelo1901,A este metanlo debajo de la Antártida más bien 👇🏻🖕🏻 https://t.co/fDkryt6Ddd https://t.co/jGo9FBGeze
11,1589775155798380544,2022-11-08 00:21:48+00:00,bebagenovevas,"@Betocoralg De todas las focas en la Antártida, ninguna iguala su poder de aplaudir al pedazo de imbecil que dirige este país https://t.co/Z0oQIT1pMT"
12,1589774213535379457,2022-11-08 00:18:03+00:00,edsofelipe,"@Renata_BSales Então galera, hoje vamos assistir o filme Happy Feey o Pinguim como tema da aula de Antártida"
13,1589773532770467840,2022-11-08 00:15:21+00:00,TeActualizas,📌 VÍDEO: ¿A quién pertenece la Antártida? https://t.co/81Wp6sEcJ1
14,1589773366960930816,2022-11-08 00:14:41+00:00,eloesteneuquino,¡Susto! Casi se mete en un negocio en Catriel y Antártida https://t.co/44Y1O7WUW4
15,1589773292696907778,2022-11-08 00:14:24+00:00,XabierCoronel,Antártida para uno Stadium...jajajajaja https://t.co/Z9NsvRAdIt
16,1589772967525093376,2022-11-08 00:13:06+00:00,eufratismo,Igual viéndola bien tiene un olor a armado que se huele desde la Antártida. https://t.co/72aVhV2bod
17,1589772476019515394,2022-11-08 00:11:09+00:00,tidomundo,"Rio de 460 km é descoberto ""escondido"" sob o gelo na Antártida

Ajuda aí, nos segue!

#ti #tecnologia #tech #inovacao #programador

https://t.co/dnX1hMceMY"
18,1589771985294622720,2022-11-08 00:09:12+00:00,a1noticias,"Corrientes: El Gobernador inauguró 35 cuadras de asfalto en el barrio Antártida Argentina

@ECOCtes @CorrientesGob @gustavovaldesok @ObrasPublicasAR @C5N @cronica 
https://t.co/L86xhbj7WI"
