,Id_tweeet,Fecha,User,Tweet
0,1589612963576819712,2022-11-07 13:37:18+00:00,JorgeOrgon777,"@politonno @Alego20_sc5 @lopruban @CondeTruku @Imsharingviews Cuando dije que es por perspectiva y REFRACCIÓN ATMOSFÉRICA deben callar terraglobistas.. Por ahí ya el objeto se le oculta su parte de abajo. Punto. Sea por la razón que sea, se ve como este avión.

Quieren ganar una discusión o encontrar la verdad? Decidan.

No hay curvatura. https://t.co/nAVG7IGJsL"
1,1589488252356288513,2022-11-07 05:21:45+00:00,Angel_Corona,"@OkBoome47954016 @ayec98_2 @AntoniodelaMaq1 Lo cierto es que ni todos los negas son terraplanistas
ni todos los terraplanistas son negas.
Hay de todo, y lo mismo los terraglobistas."
2,1589322251756716033,2022-11-06 18:22:07+00:00,JorgeOrgon777,"@Alego20_sc5 @politonno @CondeTruku @Imsharingviews Hola Alego, ellos buscan ganar el debate en ves de buscar verdad:

1) Eratostenes: Sol no inmenso.
2) Agua nivel.
3) Punto de fuga y refracción atmosférica.

El problema no es encontrar la verdad, el problema es aceptar la verdad: Estos terraglobistas tienen disonancia cognitiva. https://t.co/GtDDPeG5e9"
3,1588753121567965184,2022-11-05 04:40:36+00:00,JorgeOrgon777,"@Imsharingviews @politonno @Alego20_sc5 Algo que nunca conseguirán los terraglobistas/terrageoidistas:

Un solo experimento hecho por ellos mismos que sustente su modelo."
4,1588460897768734721,2022-11-04 09:19:24+00:00,kuchumpos,"@Alego20_sc5 segun los terraglobistas, la tierra es redonda porque los planetas son redondos....jajajajaja...P no implica Q"
5,1587803037254488066,2022-11-02 13:45:18+00:00,MARIAJO14190707,"@brunobernartt @jairmearrependi Lógico! Cê tá certíssimo! Aqui na terra plana não teve pandemia, é tudo invenção dos comunistas maconheiros do foroDeSãoPaulo, mancomunados com BillGates, Papa, Onu, e o ETdeVarginha. Vão pra Cuba terraglobistas!"
6,1586908729819086849,2022-10-31 02:31:39+00:00,Alego20_sc5,"Los Terraglobistas nunca van a reconocer la verdad, aunque sea demasiado evidente. https://t.co/MYvyqfHIQl"
7,1586675862954541062,2022-10-30 11:06:19+00:00,rogelio66332211,@ayec98_2 @AlexandraJAlva4 @Carlosindreams @BrunoMeyerCL @EugenBenno Lo del efecto Coriolis lo repiten a modo de mantra los terraglobistas para demostrar que la tierra gira sobre sí misma.
8,1586486505849380864,2022-10-29 22:33:53+00:00,JorgeOrgon777,"@Alego20_sc5 @politonno Confiar en un mapa de la tierra plana seríamos tan tontos como los terraglobistas que confían en mapas que otros les dan... 

A los experimentos me limito. El cual este señor fanático de los cohetes y buzz light year NO TIENE NINGUN EXPERIMENTO. https://t.co/6o0PO0Mp3D"
9,1586464680238645250,2022-10-29 21:07:09+00:00,rogelio66332211,"@AlexandraJAlva4 @OkBoome47954016 Es realmente increíble cómo esto no se estudia en el colegio, y ya no te digo en la universidad. Y lo más gordo es que cualquiera lo puede comprobar. Y tienes que aguantar las coñas terraglobistas sobre el efecto Coriolis, es de traca."
10,1586420577627418624,2022-10-29 18:11:54+00:00,JorgeOrgon777,"@politonno @Alego20_sc5 Alucinar? A ver tragacionsita, dime un solo método científico (experimento) que hayas hecho TU MISMO para comprobar el terraglobismo donde crees que vives...

Uno solo!

Como compruebas tus creencias terraglobistas cuéntame. https://t.co/4gUoqKoE7F"
11,1585756294471974914,2022-10-27 22:12:17+00:00,jfbaezv,"@EstoyAvisando ""los terraglobistas"" 🤣🤣🤣🤣"
12,1585679724071849988,2022-10-27 17:08:01+00:00,EugenesioN,@fjosemarquez @EstoyAvisando Qué duro va a ser el despertar… cuando vean los terraglobistas que no hay nada al otro lado más que la ira de Dios por todos los necios
13,1585652532952666120,2022-10-27 15:19:58+00:00,de_encapetados,@correio Os reptilianos da Nova Ordem Mundial hackearam o aplicativo do TSE e estão hipnotizando as pessoas fazendo elas acreditarem que a Terra é um globo e também trocaram o número 22 por 13 nas urnas! Abaixo Terraglobistas! Dia 30/10 é Bolsonaro número 13!!
14,1582140515465953280,2022-10-17 22:44:28+00:00,hidelgardoy,"@Alego20_sc5 @BolsonDildo @aritzola7 @PaulaGMSS @paner_capi @Aloha79000 y para lásers en el agua ya se han inventado una tontería para ""explicarlo""... pero tmb hay videos de lasers en sitios muy muy planos al norte de USA y sur de Canadá con videos de lasers cruzando km y más km en la tierra... y ni así lo aceptarán los terraglobistas mágicos"
15,1581726593806110720,2022-10-16 19:19:41+00:00,Alego20_sc5,"El péndulo de Foucault como herramienta de nivel. 😎😉😂

*explota la cabeza los terraglobistas (lamebolas).* https://t.co/CcqXE3CHR2"
16,1580171892698161159,2022-10-12 12:21:52+00:00,JMdezOficial,@SchwarzeMBM Terraglobistas 1-Terraplanistas 0. 😁
17,1579881368544497664,2022-10-11 17:07:25+00:00,PaulaGMSS,"@hidelgardoy @paner_capi @Alego20_sc5 @Aloha79000 En cualquier caso, demostrar que algo caería desde la superficie llamémosla “inferior” de una forma en la que no crees es un oxímoron. Y si la Tierra plana fuera tan fácilmente demostrable ya no habría “terraglobistas”."
18,1579551647692652545,2022-10-10 19:17:14+00:00,Llort37379701,"@Alego20_sc5 O te bloquean cuando se dan cuenta que no tienen argumentos para rebatir.....Se ríen,insultan,menosprecian y bloquean.
Ese es el modus operandis de los terraglobistas"
19,1579521960207593472,2022-10-10 17:19:16+00:00,kosmoflauta,@EstoyAvisando Jaque mate terraglobistas
20,1579513147446042640,2022-10-10 16:44:14+00:00,ayo_sm,"@EstoyAvisando Ahí os han pillado, terraglobistas!;"
21,1578764533644267520,2022-10-08 15:09:31+00:00,__Trukers__,"Saludos querida disidencia, vayan pasando y cojiendo su trozo. Imprescindible 1° de chemtrail, graduado escolar en CGI y Astrología básica para esta charla de cafe. 
Terraglobistas son bienvenidos. https://t.co/Rj96LAhdsR"
22,1577201076310134790,2022-10-04 07:36:54+00:00,TerraAnti,"@mr_santino_555 @BeatrizTalegon @Diario_16 Globalistas, terraglobistas, provacunas, otanistas, ucronazis = BORREGOS"
23,1575873944955277313,2022-09-30 15:43:21+00:00,P3dr0B3rr,Pura 💯 cía  ¿Ahora qué terraglobistas? ☝🏻 https://t.co/8r3rO9v0ha
24,1575796951672463360,2022-09-30 10:37:24+00:00,Incgnit05988228,@EstoyAvisando Es gracioso ver qué el argumento lo presenta como algo irrefutable que dejaría a los terraglobistas llorando. Seguramente se piensa que es la persona más lista del mundo jaja
25,1573385268270604288,2022-09-23 18:54:14+00:00,B612_murzuq,"@EstoyAvisando Estirado en la cama me veo los pies, si la Tierra no fuera plana no me los vería 😅 Jaque mate terraglobistas!"
26,1572702792565002240,2022-09-21 21:42:19+00:00,RubenAniorte,"@EstoyAvisando ""Terraglobistas"". Anda, nos han puesto nombre. ¡Qué monos!"
27,1572614978204758016,2022-09-21 15:53:23+00:00,Reik_warhammer,"@EstoyAvisando Me quedo con el título, han tenido que llamar a los demás Terraglobistas, porque al ponerle un nombre parece que se igualan las tornas. Nadie se llama a si mismo terraglobista como no se llamarían gravetiers porque son seguidores de la gravedad"
28,1572315848542658560,2022-09-20 20:04:45+00:00,orbarro,"@EstoyAvisando ""Terraglobistas."""
29,1572298843730886664,2022-09-20 18:57:10+00:00,RETRATOMETRO,@EstoyAvisando Los terraglobistas somos el resto? Este debate es aun mas tonto que el debate Messi vs Cristiano....
30,1571850277661163521,2022-09-19 13:14:44+00:00,german79067925,"@CamaradaCandado En bolsa es donde debes invertir y comerte el mundo con mentalidad de tiburon, es que aqui te quejas por que quieres vivir como una reina a costa de los demás, no como juancar el verdadero rey que nos salvo de franco, hitler, aliens, del hombre del saco y de sucios terraglobistas"
31,1571418740201324544,2022-09-18 08:39:57+00:00,rogelio66332211,"@AquAhora1 @Rodrigo85063105 A ver, creo q aquí te tengo que corregir. Los q huyen siempre son los terraglobistas cada vez que les muestras las lagunas de su modelo, contestan atacando. Llevo 3 años sufriéndolo, por eso paso de perder energía y tiempo, e igual q yo muchos más. El programa está muy implantado"
32,1570208340176949248,2022-09-15 00:30:16+00:00,Alego20_sc5,"Pruebas terraplanistas

     vs. 

Pruebas terraglobistas. 

🤷🏿‍♂️ https://t.co/DNns0gdJ1B"
33,1569813182348156928,2022-09-13 22:20:03+00:00,asjas_j,"@SantiLiebanaR Esta pose es la que pone cualquier que me leea aquí en el twiters, lo que pasa que vosotros al ser terraglobistas no entendeis que este reptiliano viajo en el tiempo para piedrojisarse y cuando todos estemos vacunados con nanobots despertará y dira : 
-QUEEEEEEEEEEEDATEEEEEEEEEEE https://t.co/iuJQBTYdee"
34,1569489628394307585,2022-09-13 00:54:21+00:00,monicaguillen,"@JuanManuel5748 @JordPlatt @AlfaRex89 @areccomaria1122 ""ustedes""... Típico de los discriminadores totalitarios. Así dividís a la humanidad? Ustedes hombres, mujeres, blancos, rusos, gordos, feos, autistas, comunistas, terraglobistas, etc... Patético. Pensar diferente es el pecado? Diferente a quien? A vos? Al sistema? 🤦🏽‍♀️"
35,1569177510138548224,2022-09-12 04:14:06+00:00,galpones_arg,Qué ternura los terraglobistas... https://t.co/WZ4yNxfYhH
36,1567784125565648896,2022-09-08 07:57:18+00:00,MiguelCaine,"Hace tanto que sigo a @EstoyAvisando que ya me creo todo lo que publica.

Terraglobistas: hijosdeputa!!!"
37,1567376594863329281,2022-09-07 04:57:55+00:00,Jesus_Lens,"En qué embolaos se meten los terraglobistas, esos defensores de que la curva es bella, para tratar de convencernos de que la tierra es redonda. Por ejemplo, esto de Magallanes y Elcano. ¡Qué pesaos, los tíos! Buenos días. https://t.co/l6NlPSndVx"
38,1567034877077495808,2022-09-06 06:20:03+00:00,Argen_1816,El tan recurrido efecto coriolis por los terraglobistas en medio minuto te lo confirma la madre naturaleza. Fin. https://t.co/vhqIs6bXOY
39,1566161843588063234,2022-09-03 20:30:56+00:00,hidelgardoy,"@EndorfinaCrew @Francis61470479 @EstoyAvisando Los terraglobistas siempre van y topan con el mismo ridículo todos, niegan a sus propios ojos.

El sol no hace pequeñito:

El sol: https://t.co/3R75ud7Ept"
40,1564970578771066880,2022-08-31 13:37:16+00:00,hidelgardoy,@Asoladoreichon1 @03Xabi @EstoyAvisando Los terraglobistas y sus experimentos hechizos ... ¿que sigue después? el de los inodoros girando al revés en el Ecuador? jajaja
41,1564563796332617728,2022-08-30 10:40:51+00:00,Nitrotoluen0,"@Daurmith @pes_maravilla Sí, sí, pero explica eso…

¡Jaque mate, terraglobistas!"
42,1563616960369156097,2022-08-27 19:58:28+00:00,Pearl36422772,@Pearl36422772's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.
43,1563499604305678336,2022-08-27 12:12:08+00:00,galpones_arg,"@FlavioMMXXII @Argen_1816 Por la forma que caen los rayos del sol nos damos cuenta que está mucho más cerca de lo que nos quieren hacer creer, si estuviera tan lejos como dicen los terraglobistas los rayos llegarían paralelos."
44,1563450390389338112,2022-08-27 08:56:35+00:00,ProfesorSnape,"La gravedad no existe porque las escobas vuelan, ¡jaque mate terraglobistas!"
45,1562225743932932096,2022-08-23 23:50:16+00:00,Benidoor,"Los terraglobistas me han pedido que encuentre el borde para demostrarles que existe.

Dos. Dos minutos he tardado en encontrarlo. https://t.co/ARlaSzQHrV"
46,1562206419541102599,2022-08-23 22:33:29+00:00,Benidoor,"@ojosdeacero Sin embargo tu lenguaje denota un refinado equilibrio emocional, una avanzada edad mental y una marcada capacidad para integrarse en ambientes sociales sofisticados como un cumpleaños en el Burger King de niños veganos, terraglobistas e hijos de homosexuales de izquierdas..."
47,1560038763107082241,2022-08-17 22:59:59+00:00,galpones_arg,@BlueValerie_ Lo que los terraglobistas llaman Antártida
48,1559403097901916163,2022-08-16 04:54:05+00:00,CSatori,"¡Jajajajajajaja…!

Inasequibles al desaliento estos #TerraGlobistas https://t.co/Jw7NLqHjBw"
49,1559064271736098816,2022-08-15 06:27:43+00:00,Argen_1816,"Duro golpe al terraglobismo 🥊

La primera retransmisión de radio a través del Océano Atlántico, efectuada por Marconi en 1901, prueba que el Tierra es plana.

Los terraglobistas dirán que las ondas rebotaron en la ionosfera 😂 Ni caso...

#marconi 

https://t.co/L5SuAqEtvj https://t.co/N7YO9W2QhQ"
50,1558909203040948224,2022-08-14 20:11:31+00:00,PaulusSantander,"@AELatam A esta altura ya tengo dudas
¿Pero los terraglobistas podemos justificar la fe con videos de la propia élite que nos ha mentido? 
No. Ahora los terraglobistas debemos demostrar q la Tierra es redonda usando método científico sin ""timo"" de agencias espaciales ni televisión."
51,1558439922142515200,2022-08-13 13:06:46+00:00,pedro82937081,Eso es una chincheta de los mapas en plano. Boom jaque mate terraglobistas https://t.co/gJiaTux6c4
52,1557154362610294786,2022-08-09 23:58:25+00:00,DUBSTEPB0Y,"esos terraglobistas solo saben insultar, no saben dialogar sin razonar."
53,1556679766144651264,2022-08-08 16:32:32+00:00,KeylinAcosta,@JLMendoza_ @domingotavarez_ Domingo sigue la agenda de los Terraglobistas y dentro de ella está desmeritar al equipo campeón de las grandes ligas y el mejor equipo de la liga nacional.
54,1555324352496812037,2022-08-04 22:46:36+00:00,Paco_Catala,"@EstoyAvisando Newton, Einstein y ... Mauricio. Olé tus 🥚🥚 Mauricio. ¿Fuerza de gravedad, qué es eso?Jaque mate terraglobistas. Pero no asomes más de medio cuerpo por la barandilla de un puente antes de repasar tus cálculos ... por si acaso."
55,1555099647458398209,2022-08-04 07:53:42+00:00,pedro_leon,"@Astrofriki Pffd, pos entonces me voy. No me gustan los terraglobistas 🌎"
