,Id_tweeet,Fecha,User,Tweet
0,1589776605450473472,2022-11-08 00:27:34+00:00,Yasmii95,"@SergioChouza @LANACION @JMilei Los negacionistas son como los terraplanistas, mientras vamos  yendo a la catástrofe climática por la avaricia de algunxs (que defiende Milei)"
1,1589776046689112065,2022-11-08 00:25:20+00:00,AlephEdu,"Reforma pensiones, cta individual del 10%
¿Qué ocurrirá cuando los fondos generacionales gestionados por IPPA/IPP obtenga rentabilidad negativa en algún período de tiempo? ¿A quién van a culpar los terraplanistas financieros?"
2,1589774451788288000,2022-11-08 00:19:00+00:00,Lilliannedz,"esta basado.

Pero como dicen, no hay peor ciego que el que no quiere ver, comportamiento típico de un adoctrinado, así como los terraplanistas. https://t.co/qTsSilvt3R"
3,1589773868415455233,2022-11-08 00:16:41+00:00,Cristhi07381221,"Para eso me gustaban tambien los imbéciles de los terraplanistas igualmente, ambos bandos son tan tercos hasta consigo mismos mendigos lamebotas de Nur para Todos, Naov, Los Hermanos Brae, Rimbel 35, Jaconor 73, Verdad Oculta y de entre muchos otros cabrones, todos son unos👇👇👇"
4,1589773738685661185,2022-11-08 00:16:10+00:00,alexwolfx2,@ladypimpom @elonmusk Eso dicen los terraplanistas...y eso que creen en Colón y el Cano...de locos....🤷🏻‍♂️
5,1589773275236012032,2022-11-08 00:14:20+00:00,GilbertGarciaSu,Los que critican al presidente Gustavo Petro no entienden la gravedad de la crisis climácica explicarles es como hablar con terraplanistas aunque se les muestre toda evidencia científica ellos insisten en seguir con el petróleo y carbón.
6,1589773208441749504,2022-11-08 00:14:04+00:00,eliaraG1,"@felipeneto Não sei como capota esta terra, mas é cada tirambaço que estes terraplanistas estão levando q até os ET's se aproximaram aqui no Sul para ver de perto o exemplo a não ser copiado.😔"
7,1589771683417968641,2022-11-08 00:08:00+00:00,HenryMosqueira,"@pdg_rm2 Pudimos estar tranquilos, pudimos evitar la debacle económica de los terraplanistas de Boric, pero el PDG no dió el ancho. 🤬"
8,1589769381562978304,2022-11-07 23:58:51+00:00,yoelMilaneshz,"Hoy, eclipse lunar para terraplanistas 🥵🙂 https://t.co/ypltU4l399"
9,1589769267230429184,2022-11-07 23:58:24+00:00,elfockboy,Antivacunas terraplanistas united https://t.co/FJBzFqwsfH
10,1589768463324942337,2022-11-07 23:55:12+00:00,Yokoy_leon,Para todos los terraplanistas alrededor del globo https://t.co/mQs70r4JYz
11,1589768075901284357,2022-11-07 23:53:40+00:00,AdolfMolya,"@JuanMOquendoL @A_westinghouse ""La moneda no responde a la oferta y la demanda"" los petristas son a la economía lo que los terraplanistas a la astronomía. Viejo, las monedas son bienes de cambio, así han funcionado en toda la historia. Hágase un favor y de no opine de lo que no sabe"
12,1589765937518870528,2022-11-07 23:45:10+00:00,despertando86,"@la_resistensia_ Se te ha olvidado lo d terraplanistas... Menuda rata, solo repite lo q han dicho q tiene q decir de los q piensan 🤣"
13,1589762626816741376,2022-11-07 23:32:01+00:00,ganekus666,"@MrAsubio Y después de todas las explicaciones, muy muy claras, cómo hay un 17% negándolo? Terraplanistas?"
14,1589760235845320704,2022-11-07 23:22:31+00:00,migfigueiro1,@dramayraoficial Mesmo quando questionamos negaciocinistas e terraplanistas????
15,1589758569850998784,2022-11-07 23:15:53+00:00,_BraveHostel,@felipeneto dps reclama dos terraplanistas
16,1589754289958055937,2022-11-07 22:58:53+00:00,dilminha_3,@AnaPaulaVolei Vai pro grupo de auto-ajuda dos terraplanistas.
17,1589752983247818752,2022-11-07 22:53:42+00:00,pittzaoo,"Se a terra é plana pq falamos ""aquecimento global"" e não ""a chapa tá esquentando?""

Terraplanistas: https://t.co/YqsGZP2wVz"
18,1589751135136800768,2022-11-07 22:46:21+00:00,Facundo_LaSerna,"@marcvidal Los bitcoiners son los terraplanistas del mundo crypto, cualquier estupidez los hace volar a la ""luna"" con sus BTC. Increíble"
19,1589750175634817026,2022-11-07 22:42:32+00:00,MaxiWhite6,@CharlyDom2 Porque sigue habiendo terraplanistas económicos que piensan que está vigente.
20,1589749890158333953,2022-11-07 22:41:24+00:00,DarkwolfFather1,"@marcofeliciano @elonmusk Please, help the bozolóides terraplanistas! https://t.co/f2YqEMN42x"
21,1589749826476216325,2022-11-07 22:41:09+00:00,Alexoriarck,"@Fall_Payne @HailToTheBreack @DayoScript bro enserio espero que no te creas las noticias de esa clase de paginas, mira que ser tan imparciales a la hora de dibulgar informacion, a este paso te terminaras creyendo lo de los antivacunas o de los terraplanistas si te lo dicen de forma bonita e interesante"
22,1589748502430879746,2022-11-07 22:35:53+00:00,Gustavo_gup,@pechevarriap Jaaaa terraplanistas y zurdópatas tienen algo en común: te la pelean siempre sin tener un solo argumento válido 😅😅
23,1589747948732416000,2022-11-07 22:33:41+00:00,gussuarex,@AnaMariaLynn15 Se multiplican estos terraplanistas la pucha
