,Id_tweeet,Fecha,User,Tweet
0,1.58962E+18,2022-11-07 13:48:14+00:00,capibarachile,"@Estoyavisando between anti -Semitism and medieval legends, which is part of the base of the conspiracy ..."
1,1.58717E+18,2022-10-31 19:53:11+00:00,nescab,@Hunsark @abcdigital I read and there is nothing weird. Only a group of medieval conspiracy.
2,1.58286E+18,2022-10-19 22:13:17+00:00,OgVsTheWorld,"@Estebannospina @rb33n @Esteban28754797 @Oocproggresismo Only one fool like you think that the Masons were a Satanic cult.
You ignore the occultism that existed with respect to scientific discoveries in the community, occultism that existed since medieval times.
Stop watching conspiranoic videos of YouTube."
3,1.57197E+18,2022-09-19 21:09:16+00:00,salbatuti,"If you say it .....
 Here nothing is denied to anyone -Conspiranoicos, retrograde, medieval, anti rights, neo Nazis, fascists, fools, inframed, etc.- Do you think so ???? We support it https://t.co/jjscad5y5"
4,1.54851E+18,2022-07-17 03:11:40+00:00,francigarfranci,"@Lebienlabiblia or there, but there are some specimens that do not leave it well stopped.
Let's say Vega is not an example of a scientific method or academic training. Walking with magnetized circuses is not very university.
And not to mention the conspiracy and their medieval comments."
5,1.53614E+18,2022-06-13 00:23:42+00:00,JuanBrice2325,@isaescorihuela @alexagomezdos send them to fry asparagus to those conspiranoic medieval decks
6,1.52268E+18,2022-05-06 20:58:18+00:00,UnvrsoRecondito,"@Malolo6325 @miguela82859042 @FERTELLA @danielpenate03 @bteseract for those who like science, scientific article solving the allais effect. (Not suitable for medieval conspiracy).

https://t.co/mygvtxbig8"
7,1.51915E+18,2022-04-27 02:46:29+00:00,oscar_yordi,"Inspired by @Seleneescribe
The warm offeons offender.
Those who look down at the deception and lie.
Those who support the globalist agenda.
Those who follow the current of the world so as not to be homophobic, conspiracy, medieval, patriarchal, etc."
8,1.51895E+18,2022-04-26 13:29:34+00:00,SeleneEscribe,"It is better to shut up at the lies that many are believing in order not to be labeled intolerant, homophobic, racist, dark, religious, embankment, conspiracy, fans, patriarchal, medieval or ignorant."
9,1.48449E+18,2022-01-21 11:35:04+00:00,rs65,"@Estoyaviso Mother, it's full of these medieval conspiracy ..."
10,1.48023E+18,2022-01-09 17:14:05+00:00,luis__daumas,"@Alberpiter in general, I don't think. Trump fans are conspiracy and far from being anti -Semitic, rather the opposite. Those who have roots in medieval themes, no doubt."
11,1.47436E+18,2021-12-24 12:55:50+00:00,cmontero,"Merry Christmas to all, especially to:
-The American prosecutors who have given Markzuck more legal headaches this week
-The conspiracy who believe that Rome and Greece did not exist and were medieval Russians (you are smoke)
-The palm trees, who no longer have a volcano"
12,1.47341E+18,2021-12-21 21:51:43+00:00,BichoFurioso,"@Elenaberberana The conspiracy (or those who think for themselves) are annoying for the caratúas that repeat and abide You had to ""silence them."""
13,1.47025E+18,2021-12-13 04:30:58+00:00,MarianoCrvants,"@Aleksahavuelado silly and dangerous people. They do not understand something as basic as collective immunity or that viruses with community circulation mutate and put us at risk. Anti-Vacuna are a fabric rejunt, hippies falotas, conspiracy and medieval reactionaries. Breast..."
14,1.46886E+18,2021-12-09 08:41:53+00:00,Otharfromdenait,"Last month, the bofia dismantled in France a hyper -right conspiracy organization that they intended to take the Eliseo and a TV channel, kidnap Macron and create street disturbances using explosives and medieval weapons.

https://t.co/buehcwvxiy"
15,1.46563E+18,2021-11-30 10:30:11+00:00,RDobservatorio,"Covid 19, before with the black plague, which decimated Europe 600 years ago, the problem were taboos and medieval religious beliefs that prevented minimizing deaths, today are the conspiracy."
16,1.37485E+18,2021-03-24 22:31:59+00:00,jhugo1238,@Raulromero2000 @vhj2012 @Manuelmogollon @idl_R In all countries there are conspiracy medieval countries that talk about the new world order.
17,1.34868E+18,2021-01-11 17:17:04+00:00,HenarCasal,"Seeing megaparanoid theories of certain people here today I understand that the priests, monks or medieval friars rub their hands every time they gave tremendous sermons to the peasants. The conspiracy would be those peasants. They believe anything you throw."
18,1.34424E+18,2020-12-30 11:07:58+00:00,OrcinyPress,"... in adorable conspiracy. There are those endearing ignorant who deny the undeniable and yet believe in medieval ideas. No, I do not mean the parishioners of any religion, nor to the monarchists. I speak of the Terraplanists."
19,1.34308E+18,2020-12-27 06:10:56+00:00,Mab09649815,@Mdqnormy @enriquetorino for me that Panchito is a reptilian coming from the space that landed in our flat land ... hahahaha! How can there be such obtuse people in the 21st century !!! Small conspiranoic medieval brain !!! 🤮🤪🤯
20,1.32371E+18,2020-11-03 19:39:15+00:00,LucianoFavreau,"@francarrilloo_ @realdonaldtrump hahahaha inces Facistoids without identity, they will defend pedophile priests, medieval, nostalgic and conspiracy cures"
21,1.31904E+18,2020-10-21 22:26:21+00:00,rubenflop,"@ioliberos there are ignored. Strategy used for Euskadi because they are residual, worth the redundancy.

On other sides they are ridiculed by their denial, conspiracy and medieval messages."
22,1.30781E+18,2020-09-20 22:38:09+00:00,GabitAmezcua,"AAAAH but conspiranoic, medieval and anti -vaccines do not get us off. Old vaccines are the only good ones. This is pure venom.

""Second volunteer in Astrazeneca vaccine trials presents neurological disorder"" https://t.co/plfngkri4m"
23,1.3046E+18,2020-09-12 01:55:55+00:00,Waynzga,"@mnayon Conspiranoicos
Denialists
Medieval
ANTI -
Ignorant

But at this point, they are already compliments !!"
24,1.28285E+18,2020-07-14 01:20:01+00:00,xatakaciencia,"The disseminator Rocío Vidal, known as Schrödinger's cat on YouTube, for example, was surrounded by a group of these conspiracy in a way that reminds of medieval times. https://t.co/rgm4dtkruq"
25,1.28238E+18,2020-07-12 18:31:44+00:00,pipasdecoco,"@wendigocabreado @luislogroo2 @jlvadell @rafapal the conspiranoices do not believe the TV but do not need to prove any to swallow unofficial shit, so its 'critical and free thinking' that ends in Terraplanism that ends in medieval Christians hunting witches."
26,1.21269E+18,2020-01-02 10:44:40+00:00,GustavoJBernal,@DonjuanioFaficial since long ago there have been those who have predicted the coming of Caralcolispsis. And this is one more proof that these predictions did not come from medieval conspiracy. https://t.co/rzx35riwj3
27,1.11035E+18,2019-03-26 01:01:22+00:00,Nicco2015,"@crisalan91 @nachho86352931 @florwillk I know several of the publications
Hazteair:
""Conspiracy"" nothing

People who strive
x Save what nobody worries!
And there there is no business
But you denigrate them

What medieval ..?
If they denounce that it is because
Or do not know that there are unique proteins
What man does not manufacture ???"
28,5.25033E+17,2014-10-22 21:16:52+00:00,tatianamm,"Lords of the Serranos and theorists conspiranoic of the end of Doraemon, the medieval were advanced xD"
