,Id_tweeet,Fecha,User,Tweet
0,1.58978E+18,2022-11-08 00:36:29+00:00,Abetouring4,"@Melchizedek70 You only have the flat earth in the head, the round medium costs you, the uncomfortable, what an infinite disability ..."
1,1.58972E+18,2022-11-07 20:30:52+00:00,FreddyRParra77,"@Medinalorca ES Flat and Infinite, Planet (Plan)"
2,1.5893E+18,2022-11-06 16:35:59+00:00,FreedomMan33,"@Vicentefoto2 @buenRolloreturn 100% I have no doubts.
It is flat and infinite (type the Minecraft game) for something Microsoft bought the developer.
Investigate what it is: ""In-sof""."
3,1.58916E+18,2022-11-06 07:19:50+00:00,PitaCaruncho,"@Jordicoll13 @esxrebellion and when you find out that the earth is flat no longer tell you anything. All intelligent people know that they are flat and infinite, and that uncontrolled human activity is not affecting."
4,1.58906E+18,2022-11-06 00:48:00+00:00,FreedomMan33,"@willy320 @elCORSARIOLOBO @SIRKIOSO @BuenROLLORETURN is flat and infinite (In-SOF).
Type M1N3Cr4FT."
5,1.58888E+18,2022-11-05 13:09:10+00:00,TeLeoYDibujo,@Stoyavisando are you telling me that the earth is flat and infinite? What lazy not having explored the rest of the plane
6,1.58852E+18,2022-11-04 13:04:02+00:00,Elkardona2,"@Lordbacano @Manuelggarciab @Fernandoaragur1 Don Bacano, understand that the Earth is flat, static and infinite because we are the center of the universe; God believe everything to revolve around us, so they are spherical (not round that is different)"
7,1.58801E+18,2022-11-03 03:39:05+00:00,Leandro63864436,"@julianefurno @monark there is a difference between law and norm. As long as you don't know that - 1 semester of law, your comment will be shallow. @Jufurno genus right, explained well that against the poor normative creativity is always infinite"
8,1.588E+18,2022-11-03 02:42:13+00:00,Beatriz66276923,"@marcelopjs ignorance is infinite.
I was wrong when I thought she was already hitting the wall of the flat earth, she from laps and still has an endless well.
How absurd!
Created the third pathway pure pure boots licking."
9,1.58791E+18,2022-11-02 20:34:26+00:00,dogeborkk,"@Politicallyli @diegoSerrano @raqeulcarbalall so not, or ""Free thinker"", or ""Disclosure"", if you still defend precepts with the same academic rigor that ""the earth is flat"" despite the infinite evidence against, that makes you Only in an ignorant and clear case of Dunning Kruger."
10,1.58762E+18,2022-11-02 01:44:36+00:00,esigonadando,"@Silvinho_29 @edusaapinto @luanadahl @rconstantino young, Armed Forces and TCU, as well as international organizations and of course party inspectors and no one found fraud
Quiet people and leave this infinite flat land, seek light, peace"
11,1.58756E+18,2022-11-01 21:30:15+00:00,Tuit_And_Shout,"@jguillaumes @mortmec is that you call me ""look for an alternative to quantum physics"". I will think ""good luck, they are wrong but I understand it because it is counterinuity""

But a flat land?"
12,1.58688E+18,2022-10-31 00:47:33+00:00,edg_world,"@Eduardo46589579 @zoarmilitating @sigmaposts @rachelsherazade dude, you are not understanding. We are saying that fact is a fact, it will arrive or not in the population is another 500. You who are hanging, we can take the fact that the earth is round, there are tapir that believes in the flat earth. Understanding stupidity is infinite will always have no escape."
13,1.58619E+18,2022-10-29 03:03:03+00:00,Alego20_sc5,"The earth is flat, stationary, and infinite. 😍 https://t.co/auwjtsnrkp"
14,1.58572E+18,2022-10-27 20:04:02+00:00,xungarro,"@3Seguidas @POLLITOARISTIA @carme_q83838317 @estoyaviso great dialectical battle🙌
But I regret contradeciros, the earth is extra-plana (like the compresses) but the limit is like the infinite pool of a luxury resort, the water falls but underneath there is a projection to return the water to the oceans. That is why the currents and those shit."
15,1.58511E+18,2022-10-26 03:20:07+00:00,LuisCell14191,"@EnseDecience Eratostenes demonstrated and knew that the Earth was spherical more than 2,000 years ago using a stick, and the embankments in 2022, with high speed internet say that the earth is flat.

Stupidity is infinite."
16,1.58504E+18,2022-10-25 22:57:26+00:00,Aloha79000,"@Margaritaasis1 The theme of aliens squeaked me because I don't believe on the globe, more in an infinite and quite flat earth, hehe. They could be beings from other ""domes"" .."
17,1.58504E+18,2022-10-25 22:52:58+00:00,lsbrcl,"@Alezia11 @clubdeviernes the earth is flat and infinite. Misrepresenting and lying as NASA does, it doesn't matter. The truth always comes to light for the awake. Himbestiga on YouTube! We never went to the moon! It's CGI!"
18,1.58489E+18,2022-10-25 12:52:09+00:00,_orwelliano,"@Tantifdz have you seen a real photograph of your flat, infinite and stationary land?"
19,1.58434E+18,2022-10-24 00:20:32+00:00,Wario99324579,"@orangine_code I am very sure that these human beings believe that the earth is flat, the moon is cheese and cotton clouds ..... The stupidity is infinite. https://t.co/xhzouawfj"
20,1.5835E+18,2022-10-21 16:27:49+00:00,galejandroster,"@kuchumpos @sergestus4 @estoyaviso suppose that the earth is flat and infinite, it would mean that it has an infinite depth, and that absolutely all the stars are different from the earth, the law of gravity would not make sense on earth because having a mass Infinite gravity would be unbearable ...."
21,1.58347E+18,2022-10-21 14:54:32+00:00,hepale,"The earth is flat (and no one has left the ""atmosphere"")

Life is infinite: just as we wake up every day (and it takes us to remember the day before)
Thus we are born in a different body (and forget the past life) https://t.co/601cvtyjan"
22,1.58347E+18,2022-10-21 14:52:07+00:00,hepale,"@Lachinatriple the earth is flat (and nobody has left the ""atmosphere"")

Life is infinite: just as we wake up every day (and it takes us to remember the day before)
Thus we are born in a different body (and forget the past life)"
23,1.58331E+18,2022-10-21 04:21:01+00:00,rafaelsouza03,"None of the 2 promotes the study and, if we had no calculations and knowledge, when looking around anyone would say that the earth is flat

human stupidity is infinite and never tires of surprising me, even though"
24,1.58326E+18,2022-10-21 01:00:10+00:00,vietovendo,"@Marcelocerize are we able to decide?
There are people who believe there is p%r0k bottle, flat land, chip vaccine, arm population diminishes violence, school without party and church with party ...
The list is infinite ..."
25,1.58317E+18,2022-10-20 19:05:27+00:00,blancolunar,"An infinite flat that says, Stalkear leaves nothing good ...

🤡🤡🤡"
26,1.58315E+18,2022-10-20 17:27:56+00:00,FLicoretas,"@Elyonman @Shanthe4444 @LaForjadeltitan @elberto98315096 because you are already to amend the flat given your infinite wisdom.
I apologize for my boldness."
27,1.58203E+18,2022-10-17 15:22:06+00:00,Francis61470479,"@Santi_lu5859 @alego20_sc5 What happens is that you have never seen or see that, because you do not have any infinite flat surface, so you think that the horizon of a curved surface is the point of escape and that if you zoom, you will see the horizon in the same site, not on a flat surface there is no."
28,1.58195E+18,2022-10-17 10:01:05+00:00,homerlocofc,"@Estoyaviso within all the madness and without any foundation, I look curious and I want to know what makes them think that the earth is flat then there is infinite energy. Why do the spherical earth prevent infinite energy for them?"
29,1.58174E+18,2022-10-16 20:29:34+00:00,Cristhi07381221,"@Elimperiounive1 The reason why the embankments do that and justify themselves with the facts that the flat earth is now ""infinite"" and with more kingdoms beyond their ""borders"" of ice, it is because of the fact that now now Several people have come out to deny them completely ..."
30,1.58174E+18,2022-10-16 20:28:32+00:00,niemalsrot,"@madame_te on the flat land that overturns, the paddling QTD to dig deeper and deeper is infinite."
