,Id_tweeet,Fecha,User,Tweet
0,1.58973E+18,2022-11-07 21:37:58+00:00,AugustoIglesi14,@Luis_ninaiz there will be some passage to the sea and from there to transfer the great ice wall of Antarctica towards its base 👍👍👍👍
1,1.58968E+18,2022-11-07 18:20:43+00:00,Aldwitter,@globalgamer_gsa If there is no mei there is no ice wall bug https://t.co/ngmkpk5p83
2,1.58966E+18,2022-11-07 17:02:58+00:00,Mov_Libertad,@Palebluedotnow @blackl @santi_abascal but if they recognize you that there were cold periods with different minimums and coincidentally within the classic period of the small ice age ... so that being fake the article leaves you in evidence again ... you see how The truth is a wall? 😘 https://t.co/qu9ymwchzg
3,1.58966E+18,2022-11-07 16:59:27+00:00,Mov_Libertad,@Palebluedotnow @blackl @santi_abascal but if they recognize you that there were cold periods with different minimums and coincidentally within the classic period of the small ice age ... so that being fake the article leaves you in evidence again ... you see how The truth is a wall? 😘 https://t.co/6vwko1oirf
4,1.58965E+18,2022-11-07 15:55:51+00:00,__Mikha,"""They try to protect their heart through an ice wall""

«You want to exercise control, accumulating power; It usually has a deep intelligence »

«It does not support disloyalty and does not forgive an offense, surely seek revenge ...» https://t.co/fhmrfz6ifw"
5,1.58957E+18,2022-11-07 10:34:20+00:00,LucSalvatore14,"And you only appeared ... with those warm hugs and full of love, to melt that wall of ice in my heart."
6,1.58944E+18,2022-11-07 02:14:03+00:00,Kidnormal3,"@suuzidane_ hahaha what that is

I get pure theory of conspiracy, of those where they say that there are an ice wall that divides the Antarctica of another land, if they are very smoked hahaha"
7,1.58941E+18,2022-11-07 00:11:26+00:00,R0,"@gcanalesdomich @gameofthronones for what I see in your photos, the ice wall has been quoted. global warming?"
8,1.5894E+18,2022-11-06 23:12:05+00:00,EvaSvqScq,@ayec98_2 @coloidosoxigeno The hypothesis that I see more likely is that the earth is a flat continent of Gaia that is spherical. That there are other continents to which we cannot go because they do not let us pass through the ice wall that surrounds it.
9,1.58939E+18,2022-11-06 23:00:00+00:00,globalgamer_gsa,"Overwatch 2: They remove Mei to improve bug from their ice wall.

#Overwatch2 #Gaming #Globalgamer #Gamer https://t.co/etguekuphg"
10,1.58936E+18,2022-11-06 21:03:48+00:00,BlueOfDaylight,"⠀

〝I'm fed up with ice. 〞Move your right arm, fire wall serving as a shield. ⠀

⠀ ⠀"
11,1.58932E+18,2022-11-06 18:32:03+00:00,Warrior_VG,"@Elonmaskceo @estoyaviso is that the moon is plasma, it has its own light and is little. And Antarctica is an ice wall. https://t.co/O9cvje0lqg"
12,1.58925E+18,2022-11-06 13:31:02+00:00,ArchivosDeIzzy,"Nº28: Garurumon

Level: Champion
Type: Beast
Attribute: vaccine
Fire element
Techniques: Fox Fire/Fox Fire and Ice Wall/Ice Wall
Previous video game: Digimon Story: Cyber ​​Sleuth Complete Edition https://t.co/4a3FHPM0VW"
13,1.5892E+18,2022-11-06 10:11:14+00:00,MigVenegas,"This week in @lacultureta we talked about the Queen of Ice ice and the day when she was in Seville, her life changed.

The Katarina Witt Wall https://t.co/brh4qgrf9m through @ondacero_es"
14,1.58916E+18,2022-11-06 07:46:34+00:00,CesarAd56556318,"@gfalconic The battle of Ghondor, that of Narnia, that of the ice wall, against Thanos, against the terrible terrucos of the OAS that are communists and are against the businessmen San Isidrino, of La Molina and Miraflores? Or your attempt to want to spop a position in power: v"
15,1.58904E+18,2022-11-05 23:50:12+00:00,Pink_Furiouss,"@gameofbolocks2 and in an electric car, please
Obviously the gossip would run out of battery, so much return to the pole looking for the ice wall, because even battery.
Then, a Paco, a charo and unites are started looking for a cargo station."
16,1.58898E+18,2022-11-05 19:28:53+00:00,EVitancio,"@Protonc_ @jpqueirozperez @estoyaviso, that is, no longer the flat earth is surrounded by an ice wall that prevents the entry of white walkers?"
17,1.58895E+18,2022-11-05 17:33:16+00:00,SoyMAFV,"@Alien_armadillo @estoyaviso according to them, after the ice wall of the antartid unlimited."
18,1.58895E+18,2022-11-05 17:23:44+00:00,laotracara88,"@vestarr if you are standing on the ice wall would not make sense that you had to turn to see the sun, or that the sun turned around you. You should only see him as he turns on everything else, right? 😉

This video makes no sense."
19,1.58891E+18,2022-11-05 14:58:22+00:00,abelsol6,"@theiiridescent @javierwot -which has the wall to offer to the Iron Bank as guarantee.

-Chaptes abandoned with land that has not grown years ago and much ice.

-You are convincing to give you the loan."
20,1.58889E+18,2022-11-05 13:28:56+00:00,AyrtonGorocitoG,"A blue flower grew in a crack of an ice wall, and permeated the air of a sweet smell ..."
21,1.58888E+18,2022-11-05 12:46:43+00:00,EndorfinaCrew,"@Josalegremoral1 @estoyaviso Man, because in a flat earth you can throw over the perimeter ice wall all industrial waste with giant catapults (the armies that monitor it also take care of that) and then there are more space and resources for humans because potatoes..."
22,1.58865E+18,2022-11-04 21:50:51+00:00,leeloo_minai_,"I hope that the circumference is large enough because if we are not going to end up all crushed. Or that or we break the ice wall and see what happens ...

A milestone in the history of humanity: we are already 8 billion inhabitants on earth!
https://t.co/vupghmnpwd https://t.co/w7JVPM27GV"
23,1.58852E+18,2022-11-04 13:23:37+00:00,TiwazGod,"II It is important to maintain a small and comfortable circle on TL, as it is to put an ice wall between the PJ and User. Be aware that a #NV is #NV, and that all the realities of your PJ have no reason to affect any user."
24,1.58837E+18,2022-11-04 03:18:55+00:00,intraelementum,"& GT; & GT; A couple of times the foot in an incorrect direction. But as Eula guided him, he began to discern a pattern in those movements.

Even so, he had his back as rigid as an ice wall.

━ ... one, two, three, four ━Repeted in silence, looking more at the ground than A& GT; & GT;"
25,1.58818E+18,2022-11-03 14:59:29+00:00,GuardianRaziel,"@SirMorgenstern ── The love with which he had received it had been totally overshadowed by a coldness with which he would have to deal with.

If they stayed with a certain distance ... maybe I could protect you.

But feeling that ice wall between the two was heartbreaking, no matter how much there was & GT;"
26,1.58812E+18,2022-11-03 10:32:36+00:00,Falcofemoralis,@Peconerol with Choborra Brasuca took impulse. I would tell you that they are those of Mordor + the savages who live passing the ice wall.
27,1.58806E+18,2022-11-03 06:47:31+00:00,amarantium666,"@BuenRolloreturn will have them hidden beyond the ice wall surrounding the earth, along with dinosaurs."
