,Id_tweeet,Fecha,User,Tweet
0,1.58978E+18,2022-11-08 00:42:34+00:00,JuanEdwards88,"@Albertomayol Basic Terricolas, of all the regions of the planet, the most pencas, indecent, unconscious facos, are the Chileans, a disgusting to live in this plane where ""thinking"" beings, guide and administer transversely the life of our civilization. Long live Shiiileee."
1,1.5892E+18,2022-11-06 10:31:38+00:00,ShambalaMyrcel1,"@Guganoblat Everything that goes against the nefarious plane of these communes becomes fake and lie .... swears you guys, thinking beings, will give credit to what the noblat album licks speak ?????"
2,1.58897E+18,2022-11-05 18:54:59+00:00,profalbert_,"When Prof. @FHC In the Planalto Palace, Lula loved to reverberate that he had inherited a ""damn heritage."" Today, he resorts to Persian Arida and A.Lara Resende to command the economic team in the transition. Persio and Lara were two thinking minds of the Real Plan. https://t.co/uzushpq9au"
3,1.58796E+18,2022-11-03 00:02:00+00:00,LuisDeAstoras,"@Glodejo07 thinking hahahahaha, they spend saying as merolicos that they want to remove autonomy from the plane @inemexico these poor devils of the pedorra and third world opposition and only repeat mantras to the pondjo, so they will never have the support of the citizenship. https://t.co/xdbvwx1s9l"
4,1.58691E+18,2022-10-31 02:26:16+00:00,rcassol_,"The Brazilian Education Plan is not flawed for creating people who do not know what dictatorship was, it is working is very well, the system really does not need thinking people but the pieces that make only the machine of capitalism turns"
5,1.58614E+18,2022-10-28 23:40:04+00:00,antekdikisi,"@cisteladelourd ""his real nature."" That's where they will always fall. If it is biology we would continue under the survival of the strongest. But no, we are thinking beings who exceeded this phase.
And within this plane is that this type of discussions are."
6,1.58318E+18,2022-10-20 19:18:01+00:00,Sabrina49771244,"@Malcolm_SV @borjasbojorquez and you work at the TSE will be equal to the system that the United States uses for electronic vote
They will tell the day of the initial flat count and your name is great thinking"
7,1.58311E+18,2022-10-20 14:47:53+00:00,IntkevCodice808,"Observe the similarities of buildings, they are a pattern, a city or town model.
That is done by the information blocks from black holes.
Where they have centralized give behavior guidelines to thinking beings and guide them in their projects.
It is an urban plan. https://t.co/hnbcm2ruyy https://t.co/9mmf33flzf"
8,1.58207E+18,2022-10-17 17:55:17+00:00,oliveriusthedev,"@Luisghernan @jenarovillamil Sorry, the chayote is not the one that dictates the consciences of thinking people.

Happy to remain close -up and money and power as critical analysis programs and without editorial line from Palacio."
9,1.58182E+18,2022-10-17 01:49:50+00:00,mayla_araujo,"The presidential candidate answers education -related questions by changing the subject. Because one cannot answer about something that is not in the government plan. After all, it makes no sense to form thinking beings that cannot be controlled."
