,Id_tweeet,Fecha,User,Tweet
0,1.58978E+18,2022-11-08 00:27:34+00:00,Yasmii95,"@Sergiochouza @Lanacion @JMilei The denialists are like the embankments, while we are going to the climatic catastrophe due to the greed of some (which defends Milei)"
1,1.58978E+18,2022-11-08 00:25:20+00:00,AlephEdu,"Pension reform, individual CTA of 10%
What will happen when generational funds managed by IPPA/IPP obtain negative profitability in some period of time? Who are the financial embankments to blame?"
2,1.58977E+18,2022-11-08 00:19:00+00:00,Lilliannedz,"It is based.

But as they say, there is no worse blind than the one who does not want to see, typical behavior of an indoctrinated, as well as the embankments. https://t.co/qtsilvt3r"
3,1.58977E+18,2022-11-08 00:16:41+00:00,Cristhi07381221,"For that I also liked the imbeciles of the Terraplanists also, both sides are so third to themselves some"
4,1.58977E+18,2022-11-08 00:16:10+00:00,alexwolfx2,"@ladypimpom @elonmusk, that's what the Terraplanists say ... And that they believe in Columbus and the Cano ... of crazy ... 🤷🏻‍♂️ 🤷🏻‍♂️"
5,1.58977E+18,2022-11-08 00:14:20+00:00,GilbertGarciaSu,Those who criticize President Gustavo Petro do not understand the severity of the climate crisis explaining them is like talking with Terraplanists even if they are shown all scientific evidence they insist on continuing with oil and coal.
6,1.58977E+18,2022-11-08 00:14:04+00:00,eliaraG1,"@felipeneto I don't know how it happies this land, but it is every bump that these earthworks are leading that even the ETs have approached here in the south to see the example not copied."
7,1.58977E+18,2022-11-08 00:08:00+00:00,HenryMosqueira,"@pdg_RM2 we could be calm, we were able to avoid the economic debacle of Puerto Ric's embankment, but the PDG did not give the width. 🤬"
8,1.58977E+18,2022-11-07 23:58:51+00:00,yoelMilaneshz,"Today, Eclipse Lunar for Terraplanists 🥵🙂 https://t.co/ypltu4l399"
9,1.58977E+18,2022-11-07 23:58:24+00:00,elfockboy,Antivacunas terraplanistas united https://t.co/FJBzFqwsfH
10,1.58977E+18,2022-11-07 23:55:12+00:00,Yokoy_leon,For all embankments around the globe https://t.co/MQS70R4JYZ
11,1.58977E+18,2022-11-07 23:53:40+00:00,AdolfMolya,"@Juanmoquendol @a_westinghouse ""The currency does not respond to supply and demand"" Petristas are to the economy what the Terraplanists to astronomy. Old, coins are exchange goods, so they have worked throughout history. Do a favor and do not think of what you don't know"
12,1.58977E+18,2022-11-07 23:45:10+00:00,despertando86,"@la_resistensia_ You have forgotten what d terraplanistas ... what a rat, just repeat what they have said that they have to say of those who think 🤣"
13,1.58976E+18,2022-11-07 23:32:01+00:00,ganekus666,"@Mrasubio and after all the explanations, very very clear, how is there 17% by denouncing it? Flat earthers?"
14,1.58976E+18,2022-11-07 23:22:31+00:00,migfigueiro1,@dramayraoficial Even when we question negoticists and earthworks ????
15,1.58976E+18,2022-11-07 23:15:53+00:00,_BraveHostel,@felipeneto dps complains of the terralanists
16,1.58975E+18,2022-11-07 22:58:53+00:00,dilminha_3,@Anapaulavolei goes to the Terraplanist self-help group.
17,1.58975E+18,2022-11-07 22:53:42+00:00,pittzaoo,"If the earth is flat because we say ""global warming"" and not ""the plate is warming?""

Terraplanists: https://t.co/yqsgzp2wvz"
18,1.58975E+18,2022-11-07 22:46:21+00:00,Facundo_LaSerna,"@MARCVIDAL The bitcoiners are the embankment of the Crypto world, any stupidity makes them fly to the ""moon"" with their BTC. Incredible"
19,1.58975E+18,2022-11-07 22:42:32+00:00,MaxiWhite6,@Charlydom2 because there are still an economic Terraplanists who think it is in force.
20,1.58975E+18,2022-11-07 22:41:24+00:00,DarkwolfFather1,"@marcofeliciano @elonmusk Please, help the bozolóides terraplanistas! https://t.co/f2YqEMN42x"
21,1.58975E+18,2022-11-07 22:41:09+00:00,Alexoriarck,"@Fall_payne @hailtothebreack @dayoscript Bro I hope you don't believe the news of that kind of pages, see that being so impartial when it comes to dibulgar information, at this step you will end up believing about the anti -vacacons or of the Terraplanists if you They say beautifully and interesting"
22,1.58975E+18,2022-11-07 22:35:53+00:00,Gustavo_gup,@pechevarriap Jaaaa Terraplanists and Zurdopats have something in common: they always fight it without having a single valid argument 😅😅
23,1.58975E+18,2022-11-07 22:33:41+00:00,gussuarex,@Anamaralynn15 These embankment are multiplied the pucha
24,1.58975E+18,2022-11-07 22:28:55+00:00,MarujaNVer,"Any embankment in the room? What is the reason why, according to the Terraplanists, we are hidden that the earth is flat?"
25,1.58974E+18,2022-11-07 22:17:25+00:00,oliveiradewill,"@Rconstantino much better than implementation of a theocracy where there is an anti -vise journalist and earthworks, don't you think?"
26,1.58974E+18,2022-11-07 22:15:46+00:00,adrianobival,"So much time was lost having to deny false news and misinformation that there is no time to talk about what really matters. We should take care of unemployment, economic, transition instead of explaining to earthworks about electronics, election, democracy ... #sempaciencia"
27,1.58974E+18,2022-11-07 22:05:55+00:00,Dih_Negretto,"""A lunar eclipse that earthworks have never seen."" =))))) https://t.co/pgg2mobiik"
